site_id,latitude,longitude,igbp,biome_group,bowen_ratio,mean_H,mean_LE,n_valid_months,source,ceres_sfc_net_sw_mean,ceres_sfc_net_sw_std,ceres_sfc_net_lw_mean,ceres_sfc_net_lw_std,ceres_toa_net_mean,ceres_toa_net_std,ceres_toa_sw_up_mean,ceres_toa_sw_up_std,ceres_toa_lw_up_mean,ceres_toa_lw_up_std,ceres_toa_net_clr_mean,ceres_toa_net_clr_std,ceres_toa_sw_clr_mean,ceres_toa_sw_clr_std,ceres_toa_lw_clr_mean,ceres_toa_lw_clr_std,ceres_toa_cre_sw_mean,ceres_toa_cre_sw_std,ceres_toa_cre_lw_mean,ceres_toa_cre_lw_std,ceres_toa_cre_net_mean,ceres_toa_cre_net_std,ceres_sfc_net_rad,ceres_atm_absorption
JP-Hc2,34.537518,133.927545,CRO,Cropland,0.087,6.2,71.3,44,JapanFlux2024,148.01162719726562,43.20545196533203,-48.5053596496582,13.803606986999512,-1.3780287504196167,67.9300765991211,118.75044250488281,35.090309143066406,233.62899780273438,11.793676376342773,30.233415603637695,80.94684600830078,51.12417984008789,12.957942962646484,269.6417541503906,13.807043075561523,-67.62625885009766,26.992158889770508,36.01271057128906,12.501306533813477,-31.61355209350586,18.173362731933594,99.50626754760742,-100.88429629802704
JP-Hc3,34.539672,133.911731,CRO,Cropland,0.171,9.1,52.9,38,JapanFlux2024,148.01162719726562,43.20545196533203,-48.5053596496582,13.803606986999512,-1.3780287504196167,67.9300765991211,118.75044250488281,35.090309143066406,233.62899780273438,11.793676376342773,30.233415603637695,80.94684600830078,51.12417984008789,12.957942962646484,269.6417541503906,13.807043075561523,-67.62625885009766,26.992158889770508,36.01271057128906,12.501306533813477,-31.61355209350586,18.173362731933594,99.50626754760742,-100.88429629802704
JP-Mse,36.05393,140.02693,CRO,Cropland,0.089,6.0,66.8,107,JapanFlux2024,147.88009643554688,40.72825241088867,-54.206966400146484,17.943078994750977,-2.9147918224334717,68.2332992553711,114.99618530273438,41.570472717285156,231.49044799804688,10.432100296020508,23.289133071899414,84.25458526611328,54.235260009765625,13.962777137756348,266.05072021484375,12.936217308044434,-60.76091766357422,30.846105575561523,34.56025314331055,12.725062370300293,-26.200664520263672,20.66098976135254,93.67313003540039,-96.58792185783386
CN-Lsh,45.279839,127.578206,DNF,Forest,1.043,37.3,35.8,28,JapanFlux2024,127.7369613647461,59.4528694152832,-61.54340362548828,12.129084587097168,-20.84699249267578,77.20567321777344,104.73123168945312,38.51213073730469,222.4641571044922,20.597145080566406,-8.068731307983398,92.02906799316406,71.07457733154297,16.608522415161133,243.33921813964844,27.70527458190918,-33.656639099121094,26.937395095825195,20.875032424926758,10.020964622497559,-12.781609535217285,18.07442855834961,66.19355773925781,-87.0405502319336
ID-Pag,-2.323916667,113.9043917,EBF,Forest,0.274,29.8,108.7,94,JapanFlux2024,179.72264099121094,10.279353141784668,-26.026887893676758,5.075484752655029,74.65655517578125,25.792150497436523,125.74266815185547,18.036767959594727,214.9170684814453,24.282060623168945,67.74700164794922,20.341711044311523,70.4338150024414,6.288796424865723,277.13726806640625,4.9667744636535645,-55.30884552001953,16.148096084594727,62.220211029052734,21.655641555786133,6.91136360168457,11.560819625854492,153.69575309753418,-79.03919792175293
JP-Api,40.00135858,140.9365859,DBF,Forest,0.641,18.4,28.8,169,JapanFlux2024,121.9030532836914,56.68645095825195,-38.50263977050781,10.758051872253418,-23.714599609375,74.73991394042969,127.80795288085938,34.03446960449219,223.6576690673828,15.65750503540039,11.327290534973145,88.4730224609375,63.20476531982422,16.916656494140625,253.2167510986328,18.934423446655273,-64.6031723022461,21.653505325317383,29.559066772460938,7.0961833000183105,-35.04411697387695,18.10634994506836,83.4004135131836,-107.1150131225586
JP-Fjy,35.45454,138.76225,ENF,Forest,0.505,20.1,39.8,132,JapanFlux2024,146.87294006347656,35.11529541015625,-63.48080062866211,15.777077674865723,-1.8810176849365234,60.77267837524414,120.69600677490234,45.588226318359375,228.51536560058594,10.380395889282227,30.70408821105957,77.59847259521484,55.583839416503906,15.394315719604492,261.0427551269531,16.126394271850586,-65.11216735839844,32.134376525878906,32.52743148803711,14.632352828979492,-32.58473587036133,20.144376754760742,83.39213943481445,-85.27315711975098
JP-Fmt,35.638745,139.379748,MF,Forest,0.406,29.2,72.0,84,JapanFlux2024,147.6502685546875,38.993919372558594,-54.12937927246094,16.82107925415039,-2.6527769565582275,66.15814208984375,116.520263671875,42.762062072753906,233.4658660888672,11.504301071166992,25.454002380371094,80.59081268310547,52.80244827270508,13.253673553466797,269.0763244628906,14.617313385009766,-63.71782302856445,32.67947769165039,35.610443115234375,15.603494644165039,-28.10738182067871,20.33409309387207,93.52088928222656,-96.17366623878479
JP-Khw,33.13666,130.70829,ENF,Forest,0.207,16.8,81.4,97,JapanFlux2024,147.22874450683594,43.185298919677734,-49.046653747558594,11.21501636505127,-3.4095652103424072,66.54463195800781,122.67611694335938,35.62641143798828,235.31842041015625,11.909164428710938,32.19792938232422,85.66355895996094,48.1766357421875,10.51125431060791,274.2110900878906,10.044743537902832,-74.49946594238281,31.16345977783203,38.892669677734375,10.922245979309082,-35.6068000793457,24.504150390625,98.18209075927734,-101.59165596961975
JP-Kzw,36.406667,138.5725,MF,Forest,1.989,34.5,17.3,69,JapanFlux2024,140.24429321289062,42.5046272277832,-51.6357421875,11.214056968688965,-6.3885498046875,65.62802124023438,124.5870590209961,39.416622161865234,225.37852478027344,10.796856880187988,26.309494018554688,79.52130889892578,58.36631393432617,15.211868286132812,258.8989562988281,15.051949501037598,-66.22074890136719,25.988391876220703,33.52043914794922,10.455890655517578,-32.700313568115234,17.273454666137695,88.60855102539062,-94.99710083007812
JP-MBF,44.38416667,142.3186111,DBF,Forest,0.489,21.4,43.7,75,JapanFlux2024,110.07025146484375,56.15541458129883,-43.530208587646484,8.602091789245605,-36.113929748535156,74.4677963256836,127.17816925048828,40.99828338623047,219.68804931640625,17.29248046875,-10.428840637207031,99.36888885498047,74.90367126464844,24.490636825561523,246.28424072265625,20.637630462646484,-52.27449035644531,32.836421966552734,26.596162796020508,6.309958457946777,-25.678325653076172,29.244239807128906,66.54004287719727,-102.65397262573242
JP-MMF,44.32194444,142.2613889,MF,Forest,0.533,24.0,45.0,88,JapanFlux2024,110.07025146484375,56.15541458129883,-43.530208587646484,8.602091789245605,-36.113929748535156,74.4677963256836,127.17816925048828,40.99828338623047,219.68804931640625,17.29248046875,-10.428840637207031,99.36888885498047,74.90367126464844,24.490636825561523,246.28424072265625,20.637630462646484,-52.27449035644531,32.836421966552734,26.596162796020508,6.309958457946777,-25.678325653076172,29.244239807128906,66.54004287719727,-102.65397262573242
JP-Nkm,35.808064,137.833883,ENF,Forest,0.108,4.8,44.7,22,JapanFlux2024,145.8024139404297,40.10139846801758,-52.829345703125,13.609905242919922,-2.4760241508483887,63.666927337646484,121.64872741699219,40.301517486572266,228.1562957763672,11.027074813842773,31.196186065673828,77.56636810302734,56.30731964111328,13.848821640014648,259.8268737792969,16.496753692626953,-65.34141540527344,28.143930435180664,31.670555114746094,12.849204063415527,-33.670860290527344,17.87897491455078,92.97306823730469,-95.44909238815308
JP-Nuf,35.15241667,136.971889,DBF,Forest,0.692,16.0,23.1,11,JapanFlux2024,139.31539916992188,45.13519287109375,-47.182884216308594,11.734850883483887,-8.099045753479004,67.8629150390625,125.8232421875,35.46272277832031,229.60374450683594,12.055996894836426,25.096818923950195,79.08429718017578,59.08130645751953,13.528525352478027,263.1512451171875,16.678855895996094,-66.74193572998047,24.43280029296875,33.5474739074707,11.880294799804688,-33.19446563720703,15.769730567932129,92.13251495361328,-100.23156070709229
JP-SMF,35.261528,137.07875,MF,Forest,0.462,23.5,50.8,145,JapanFlux2024,145.8024139404297,40.10139846801758,-52.829345703125,13.609905242919922,-2.4760241508483887,63.666927337646484,121.64872741699219,40.301517486572266,228.1562957763672,11.027074813842773,31.196186065673828,77.56636810302734,56.30731964111328,13.848821640014648,259.8268737792969,16.496753692626953,-65.34141540527344,28.143930435180664,31.670555114746094,12.849204063415527,-33.670860290527344,17.87897491455078,92.97306823730469,-95.44909238815308
JP-Shn,35.865755,137.932563,MF,Forest,0.781,42.4,54.3,60,JapanFlux2024,145.8024139404297,40.10139846801758,-52.829345703125,13.609905242919922,-2.4760241508483887,63.666927337646484,121.64872741699219,40.301517486572266,228.1562957763672,11.027074813842773,31.196186065673828,77.56636810302734,56.30731964111328,13.848821640014648,259.8268737792969,16.496753692626953,-65.34141540527344,28.143930435180664,31.670555114746094,12.849204063415527,-33.670860290527344,17.87897491455078,92.97306823730469,-95.44909238815308
JP-Spp,42.986843,141.385331,DBF,Forest,0.434,17.2,39.7,152,JapanFlux2024,124.8987808227539,49.75617980957031,-50.11358642578125,10.545906066894531,-24.54230499267578,72.43414306640625,119.07328796386719,42.891197204589844,224.857666015625,13.906561851501465,16.77507972717285,102.03485107421875,45.07195281982422,14.303873062133789,257.54168701171875,16.407054901123047,-74.00132751464844,32.92519760131836,32.68402862548828,7.3352437019348145,-41.317298889160156,32.77547836303711,74.78519439697266,-99.32749938964844
JP-Tdf,35.03588889,137.1857778,DBF,Forest,0.528,22.6,42.8,18,JapanFlux2024,145.8024139404297,40.10139846801758,-52.829345703125,13.609905242919922,-2.4760241508483887,63.666927337646484,121.64872741699219,40.301517486572266,228.1562957763672,11.027074813842773,31.196186065673828,77.56636810302734,56.30731964111328,13.848821640014648,259.8268737792969,16.496753692626953,-65.34141540527344,28.143930435180664,31.670555114746094,12.849204063415527,-33.670860290527344,17.87897491455078,92.97306823730469,-95.44909238815308
JP-Tef,45.055808,142.107122,DNF,Forest,0.556,16.7,30.1,181,JapanFlux2024,124.0740966796875,60.42056655883789,-45.109249114990234,12.32823371887207,-25.30301856994629,81.25296020507812,110.5335464477539,40.62303924560547,221.1163787841797,15.741023063659668,11.758684158325195,112.11458587646484,47.60934066772461,15.059991836547852,246.9777069091797,16.78971290588379,-62.92420959472656,34.80168533325195,25.861328125,5.86313009262085,-37.06288146972656,34.71282196044922,78.96484756469727,-104.26786613464355
JP-Toc,42.709727,141.565898,DBF,Forest,0.789,25.1,31.8,42,JapanFlux2024,124.8987808227539,49.75617980957031,-50.11358642578125,10.545906066894531,-24.54230499267578,72.43414306640625,119.07328796386719,42.891197204589844,224.857666015625,13.906561851501465,16.77507972717285,102.03485107421875,45.07195281982422,14.303873062133789,257.54168701171875,16.407054901123047,-74.00132751464844,32.92519760131836,32.68402862548828,7.3352437019348145,-41.317298889160156,32.77547836303711,74.78519439697266,-99.32749938964844
KH-Kmp,12.7445797843113,105.478566120114,EBF,Forest,0.182,19.2,105.5,25,JapanFlux2024,187.44717407226562,12.400619506835938,-34.68998336791992,11.616778373718262,61.313026428222656,35.5716552734375,110.955322265625,24.795419692993164,234.98770141601562,32.00709533691406,55.435302734375,32.16797637939453,67.44890594482422,6.655616283416748,284.3727722167969,8.866860389709473,-43.50641632080078,21.22432518005371,49.38507080078125,25.171979904174805,5.878655433654785,10.616333961486816,152.7571907043457,-91.44416427612305
MN-Skt,48.351861,108.654333,DNF,Forest,2.012,57.4,28.5,23,JapanFlux2024,132.0673065185547,62.88353729248047,-69.1905517578125,9.049184799194336,-22.494659423828125,76.62706756591797,101.76498413085938,44.663692474365234,213.50717163085938,18.865386962890625,-4.893284797668457,93.53560638427734,62.685482025146484,20.497344970703125,234.98391723632812,27.461345672607422,-39.079505920410156,29.031347274780273,21.47675132751465,10.726773262023926,-17.60275650024414,19.520183563232422,62.87675476074219,-85.37141418457031
