site_id,latitude,longitude,igbp,bowen_ratio,bowen_std,bowen_median,mean_H,mean_LE,mean_netrad,mean_TA,n_valid_months,total_months,biome_group,ceres_sfc_net_sw_mean,ceres_sfc_net_sw_std,ceres_sfc_net_lw_mean,ceres_sfc_net_lw_std,ceres_toa_net_mean,ceres_toa_net_std,ceres_toa_sw_up_mean,ceres_toa_sw_up_std,ceres_toa_lw_up_mean,ceres_toa_lw_up_std,ceres_toa_net_clr_mean,ceres_toa_net_clr_std,ceres_toa_sw_clr_mean,ceres_toa_sw_clr_std,ceres_toa_lw_clr_mean,ceres_toa_lw_clr_std,ceres_toa_cre_sw_mean,ceres_toa_cre_sw_std,ceres_toa_cre_lw_mean,ceres_toa_cre_lw_std,ceres_toa_cre_net_mean,ceres_toa_cre_net_std,ceres_sfc_net_rad,ceres_atm_absorption,forcing_proxy_raw,forcing_proxy,cre_jja,cre_djf,era5_cape,era5_tcwv,era5_blh,era5_precip,source,eta
AU-Ctr,-16.10327911376953,145.4468536376953,EBF,0.0296289957059534,0.2626310229081076,0.2549536384537849,3.613913894125672,121.97220351277446,105.26626790792965,24.31318239401317,655,2922.0,Forest,207.0834045410156,38.33839416503906,-49.89607620239258,11.85241413116455,34.31906509399414,59.73390579223633,101.20484161376952,25.93929100036621,264.0528869628906,23.768848419189453,42.7403678894043,55.72087478637695,63.81960678100586,10.614526748657228,293.0116882324219,8.0868501663208,-37.38523483276367,21.00567054748535,28.95879364013672,18.323354721069336,-8.426443099975586,11.932184219360352,157.18732833862305,-122.8682632446289,0.0343311676755421,0.067509733505903,-14.55769157409668,-7.778697490692139,239.41744995117188,36.865684509277344,750.878662109375,1746.986755169928,FluxDataKit-v3,0.06908494605570574
NL-Ca1,51.97100067138672,4.927000045776367,GRA,0.0518034042097867,0.1911554718628618,0.2654909176950258,3.272807292811984,63.1774560520809,61.93140806385726,11.400308716422902,1359,1461.0,Grassland,106.37742614746094,63.93026351928711,-44.713077545166016,10.050348281860352,-53.12627410888672,85.42548370361328,105.54276275634766,46.5169677734375,226.38360595703125,15.373820304870604,-30.12005424499512,106.124755859375,57.38751220703125,25.454973220825195,251.5293884277344,12.816282272338867,-48.155250549316406,22.967533111572266,25.1457462310791,6.420715808868408,-23.009502410888672,23.489669799804688,61.66434860229492,-114.79062271118164,0.0528456787134147,0.1039171670651562,-46.75070190429688,1.6040863990783691,32.64817810058594,16.990398406982422,580.2312622070312,835.5652121827006,FluxDataKit-v3,0.3642043198434673
CH-Oe1,47.285831451416016,7.731939792633057,GRA,0.0676108759321267,0.3146659626820738,0.1831332547240553,3.391744660459956,50.16566659874166,64.52688221342844,9.8257913872426,2429,2557.0,Grassland,119.0386199951172,65.07304382324219,-48.76128387451172,13.542960166931152,-37.07939529418945,82.59040069580078,109.74242401123048,41.45561981201172,224.6952362060547,17.196975708007812,-11.91231632232666,99.22761535644533,58.16094207763672,22.428451538085938,251.11215209960932,14.122806549072266,-51.58147811889648,22.22884559631348,26.416898727416992,7.103936672210693,-25.16457939147949,20.8013973236084,70.27733612060547,-107.35673141479492,0.0525632812885869,0.1033618531570172,-40.2320671081543,-5.507087707519531,68.62864685058594,15.092972755432127,413.3434753417969,1341.1226158495992,FluxDataKit-v3,0.5016295226925322
US-Tw5,38.1072,-121.6426,WET,0.0718995846167919,0.2848422391644541,0.2291772063233477,6.620394444075135,92.07834063799255,127.71767457799554,15.038725778821012,722,730.0,Wetland,182.84825134277344,77.48599243164062,-82.94524383544922,24.26352310180664,-3.1284122467041016,77.3818588256836,81.81661987304688,17.62238121032715,257.1395874023437,28.415586471557617,-0.2977011203765869,79.12359619140625,61.39570999145508,17.496355056762695,274.7258605957031,18.82968521118164,-20.420907974243164,14.646413803100586,17.586288452148438,10.863920211791992,-2.8346197605133057,8.059957504272461,99.90300750732422,-103.03141975402832,0.051836164931363,0.1019320319529184,,,5.927083492279053,15.127497673034668,394.25390625,452.46768568176776,FluxDataKit-v3,0.03078487015374938
US-Tw4,38.10274505615234,-121.64132690429688,WET,0.0774454566949139,0.2458369784238073,0.1923908411515569,9.025944219169276,116.54581952722906,131.91119468482418,16.176690731837535,274,365.0,Wetland,182.84825134277344,77.48599243164062,-82.94524383544922,24.26352310180664,-3.1284122467041016,77.3818588256836,81.81661987304688,17.62238121032715,257.1395874023437,28.415586471557617,-0.2977011203765869,79.12359619140625,61.39570999145508,17.496355056762695,274.7258605957031,18.82968521118164,-20.420907974243164,14.646413803100586,17.586288452148438,10.863920211791992,-2.8346197605133057,8.059957504272461,99.90300750732422,-103.03141975402832,0.0684243990112817,0.1345515825796992,,,5.927083492279053,15.127497673034668,394.25390625,452.46768568176776,FluxDataKit-v3,0.02432193425737628
NL-Hor,52.24034881591797,5.071300029754639,GRA,0.0808454662390601,2.5453518692253723,0.5236906552472002,3.196889164047702,39.54320894871823,58.25907328241526,10.589220926362607,1185,1461.0,Grassland,112.0276870727539,70.7442626953125,-47.618202209472656,7.978149890899658,-49.73409652709961,92.6434097290039,97.2885971069336,41.55677032470703,226.5098876953125,14.822881698608398,-30.966806411743164,114.04207611083984,50.59428405761719,21.841672897338867,254.4369964599609,12.219365119934082,-46.69432067871094,22.274633407592773,27.92709732055664,6.446543216705322,-18.767221450805664,23.94787979125977,64.40948486328125,-114.14358139038086,0.054873670038494,0.1079050638708313,-43.13057708740234,6.01694917678833,31.818750381469727,16.8939151763916,590.0482788085938,855.0322253722697,FluxDataKit-v3,0.4746003662763943
US-xGR,35.689,-83.5019,DBF,0.0819311800393517,0.8393975159362824,0.1891028404696779,7.586206669172584,92.59242531999313,103.57035903603568,15.22331339060082,1582,1826.0,Forest,154.4473876953125,47.30974578857422,-54.87418746948242,11.539203643798828,-2.92310643196106,64.85482025146484,114.36569213867188,31.514707565307617,235.90000915527344,14.92116641998291,24.548524856567383,74.38086700439453,60.08147811889648,18.34078025817871,262.7089233398437,12.9686861038208,-54.28422164916992,16.696964263916016,26.80890464782715,6.771830081939697,-27.47531509399414,13.42038345336914,99.57320022583008,-102.49630665779114,0.0732468897450966,0.1440346583477998,,,114.77395629882812,19.77532196044922,458.0364685058594,1313.4101941250265,FluxDataKit-v3,0.296733939078076
DE-RuR,50.621914,6.304126,GRA,0.086451903455954,0.2112737675373578,0.2529669587630992,5.445422062242388,62.98787932433146,62.44278638782497,9.00231379033882,3462,3653.0,Grassland,105.4496841430664,62.94062423706055,-45.91009140014648,13.09827995300293,-50.64426040649414,84.08414459228516,109.88105010986328,46.187767028808594,224.26144409179688,15.726914405822754,-22.20329666137696,104.57880401611328,55.99906539916992,24.33111572265625,249.70497131347656,13.317113876342772,-53.88199234008789,24.1141414642334,25.443511962890625,6.441130638122559,-28.438480377197266,23.77479553222656,59.53959274291992,-110.18385314941406,0.0872065834541959,0.1714853763377011,-51.73392105102539,-3.528733968734741,37.72630310058594,14.277469635009766,559.7564086914062,1132.1504088118672,FluxDataKit-v3,0.4514913136028033
US-Twt,38.108699798583984,-121.6530990600586,CRO,0.0889721378060355,0.9184680708555616,0.3108662218373287,10.404906263042212,116.9456699548517,97.42496252734608,14.849827609225771,1759,1826.0,Cropland,182.84825134277344,77.48599243164062,-82.94524383544922,24.26352310180664,-3.1284122467041016,77.3818588256836,81.81661987304688,17.62238121032715,257.1395874023437,28.415586471557617,-0.2977011203765869,79.12359619140625,61.39570999145508,17.496355056762695,274.7258605957031,18.82968521118164,-20.420907974243164,14.646413803100586,17.586288452148438,10.863920211791992,-2.8346197605133057,8.059957504272461,99.90300750732422,-103.03141975402832,0.1067991815765048,0.2100127893993788,,,5.927083492279053,15.127497673034668,394.25390625,452.46768568176776,FluxDataKit-v3,0.024238774822596214
AT-Neu,47.11666870117188,11.317500114440918,GRA,0.0913362596848341,0.257097561575483,0.259226275738855,6.078871602878071,66.55485591214148,67.78873284545375,9.963554883572789,3042,4018.0,Grassland,111.98949432373048,60.05631637573242,-49.98347091674805,10.53182888031006,-38.81318664550781,77.9231948852539,117.56187438964844,46.92106246948242,218.6054534912109,16.41773223876953,-11.80869960784912,101.75971221923828,64.17923736572266,21.633975982666016,244.9864501953125,15.867582321166992,-53.38264083862305,29.404380798339844,26.380998611450195,6.211806297302246,-27.00164222717285,27.72736549377441,62.00602340698242,-100.81921005249023,0.089673775385901,0.1763369290547962,-50.89997100830078,2.7901344299316406,34.48125076293945,7.904238700866699,339.9205322265625,1685.2991608902812,FluxDataKit-v3,0.4057050662511763
