year,month,enso_phase,amazon_source_ref_olr,amazon_endpoint_olr,atlantic_endpoint_olr,difference,n_amazon_parcels,n_atlantic_parcels
2005,1,neutral/weak La Nina,226.94520568847656,278.8741149902344,265.7569885253906,13.11712646484375,286,286
2005,4,neutral/weak La Nina,207.42520141601562,286.0150146484375,284.7524719238281,1.262542724609375,286,286
2005,7,neutral/weak La Nina,246.9403839111328,262.2485656738281,278.6975402832031,-16.448974609375,286,286
2005,10,neutral/weak La Nina,231.33120727539062,283.63604736328125,298.26080322265625,-14.624755859375,286,286
2008,1,La Nina,229.3983917236328,254.99197387695312,261.53460693359375,-6.542633056640625,286,286
2008,4,La Nina,212.40280151367188,280.32275390625,274.71923828125,5.603515625,286,286
2008,7,La Nina,237.58120727539062,277.1979064941406,268.4251403808594,8.77276611328125,286,286
2008,10,La Nina,231.2052001953125,280.08251953125,286.7185363769531,-6.636016845703125,286,286
2010,1,El Nino to La Nina transition,243.8188018798828,271.9985656738281,286.9626159667969,-14.96405029296875,286,286
2010,4,El Nino to La Nina transition,205.08322143554688,275.0926818847656,258.82623291015625,16.266448974609375,286,286
2010,7,El Nino to La Nina transition,234.773193359375,266.02130126953125,270.1059265136719,-4.084625244140625,286,286
2010,10,El Nino to La Nina transition,231.41879272460938,271.7622375488281,270.6821594238281,1.080078125,286,286
2015,1,strong El Nino,232.07481384277344,271.3971862792969,261.51715087890625,9.880035400390625,286,286
2015,4,strong El Nino,220.13119506835938,284.3730773925781,261.3482666015625,23.024810791015625,286,286
2015,7,strong El Nino,249.79759216308594,282.9744873046875,290.58636474609375,-7.61187744140625,286,286
2015,10,strong El Nino,239.98800659179688,290.6650390625,286.6667785644531,3.998260498046875,286,286
2016,1,El Nino tail,252.76400756835938,283.4797058105469,278.60699462890625,4.872711181640625,286,286
2016,4,El Nino tail,210.6815948486328,289.7867126464844,274.4828796386719,15.3038330078125,286,286
2016,7,El Nino tail,241.93359375,269.5090637207031,274.0423278808594,-4.53326416015625,286,286
2016,10,El Nino tail,232.53160095214844,270.33111572265625,277.0559387207031,-6.724822998046875,286,286
2019,1,weak El Nino,233.99681091308594,252.2615203857422,267.126953125,-14.865432739257812,286,286
2019,4,weak El Nino,219.04197692871094,283.55767822265625,267.63006591796875,15.9276123046875,286,286
2019,7,weak El Nino,243.62118530273438,275.6612243652344,280.7968444824219,-5.1356201171875,286,286
2019,10,weak El Nino,226.11000061035156,266.8402099609375,273.7699279785156,-6.929718017578125,286,286
2020,1,La Nina,245.33522033691406,268.9426574707031,263.8688659667969,5.07379150390625,286,286
2020,4,La Nina,210.6580047607422,295.9716796875,281.46575927734375,14.50592041015625,286,286
2020,7,La Nina,245.69281005859375,271.3965148925781,275.56292724609375,-4.166412353515625,286,286
2020,10,La Nina,233.6020050048828,280.0506896972656,293.07623291015625,-13.025543212890625,286,286
