Region,Type,CAPE_J_kg,CRE_LW,CRE_SW,CRE_net,Cloud_frac_pct,Cloud_top_temp_K
Amazon Coast,Tropical forest,447.8,39.5,-53.7,-14.3,69.0,255.0
Amazon East,Tropical forest,479.4,39.7,-56.1,-16.4,75.1,255.0
Amazon Central,Tropical forest,766.1,47.2,-60.7,-13.5,77.7,250.0
Amazon West,Tropical forest,951.7,54.3,-65.9,-11.6,81.1,246.4
Amazon Interior,Tropical forest,970.3,56.5,-70.0,-13.6,83.3,246.1
Amazon Andes,Tropical forest,941.4,53.3,-72.5,-19.2,84.1,249.5
Congo West,Tropical forest,1381.9,51.3,-58.2,-6.9,78.6,244.4
Congo Central,Tropical forest,1371.6,56.1,-62.1,-6.0,81.3,243.1
Congo East,Tropical forest,1014.0,57.5,-66.2,-8.7,82.1,244.7
Borneo West,Tropical forest,803.6,64.7,-60.0,4.7,84.8,240.3
Borneo East,Tropical forest,703.5,59.0,-65.6,-6.7,83.9,242.9
SE USA,Temperate,329.1,26.9,-46.6,-19.7,53.4,252.7
W Europe,Temperate,37.6,24.1,-48.4,-24.3,65.4,254.1
E China,Temperate,196.7,28.9,-84.2,-55.2,73.1,261.3
N Africa Sahel,Subtropical,534.2,33.7,-25.8,7.8,56.5,247.4
C Australia,Subtropical,47.9,16.1,-20.1,-3.9,29.7,256.8
Trop W Atlantic,Ocean,191.9,25.7,-40.6,-15.0,63.1,262.6
Trop E Pacific,Ocean,71.5,11.9,-32.2,-20.3,54.3,277.2
Indian Ocean,Ocean,440.3,41.9,-54.7,-12.7,76.0,247.1
