region,cape,cre_lw,cre_sw
Amazon Coast,447.8429260253906,39.461151123046875,-53.74246597290039
Amazon East,479.3704833984375,39.72995376586914,-56.09731674194336
Amazon Central,766.060302734375,47.23499298095703,-60.74014663696289
Amazon West,951.6696166992188,54.302364349365234,-65.90792846679688
Amazon Interior,970.3339233398438,56.456363677978516,-70.03626251220703
Amazon Andes,941.39794921875,53.34598922729492,-72.52526092529297
Congo West,1381.937744140625,51.284122467041016,-58.15604782104492
Congo Central,1371.6219482421875,56.09749984741211,-62.13425827026367
Congo East,1014.0466918945312,57.4848747253418,-66.22494506835938
Borneo West,803.5608520507812,64.7468032836914,-60.020240783691406
Borneo East,703.5413208007812,58.97023010253906,-65.62394714355469
SE USA,329.1439514160156,26.906368255615234,-46.60940170288086
W Europe,37.5910758972168,24.096729278564453,-48.358097076416016
E China,196.73992919921875,28.944602966308594,-84.19327545166016
N Africa Sahel,534.1878662109375,33.67131042480469,-25.830787658691406
C Australia,47.9112548828125,16.13693618774414,-20.0782470703125
Trop W Atlantic,191.87078857421875,25.650657653808594,-40.602806091308594
Trop E Pacific,71.48971557617188,11.91630744934082,-32.22694396972656
Indian Ocean,440.2764892578125,41.93639373779297,-54.68604278564453
